trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.35, 'e': 0.7149999999999997}",25,0,-104.17335555946272,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.35, 'e': 0.7099999999999997}",20,0,-9.392874114448691,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.35, 'e': 0.7049999999999997}",25,7,-96.64985220338882,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
60,False,"{'a': 0.35, 'e': 0.6999999999999997}",25,5,-123.08319004288987,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
61,False,"{'a': 0.35, 'e': 0.6949999999999997}",20,0,-60.717111300546065,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
62,False,"{'a': 0.35, 'e': 0.6899999999999997}",20,3,-90.20924607054795,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
63,False,"{'a': 0.35, 'e': 0.6849999999999997}",30,0,-71.71014965607058,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.35, 'e': 0.6799999999999997}",20,8,-65.07147879559699,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
65,False,"{'a': 0.35, 'e': 0.6749999999999997}",25,0,-47.099725335319576,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.35, 'e': 0.6699999999999997}",20,11,-17.639584606397822,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.35, 'e': 0.6649999999999997}",30,15,-51.74464509904006,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.35, 'e': 0.6599999999999997}",25,7,-1.1780293159401447,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.35, 'e': 0.6549999999999997}",20,0,-4.932915046842296,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.35, 'e': 0.6499999999999997}",30,0,-65.55571028844344,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.35, 'e': 0.6449999999999997}",20,12,-110.53291785267574,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 3}",1
72,False,"{'a': 0.35, 'e': 0.6399999999999997}",25,0,6.898946572547814,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.35, 'e': 0.6349999999999997}",25,7,-47.991498024740636,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
74,False,"{'a': 0.35, 'e': 0.6299999999999997}",20,8,-38.97111250282329,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
75,False,"{'a': 0.35, 'e': 0.6249999999999997}",20,0,13.036885663890722,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.35, 'e': 0.6199999999999997}",30,0,-35.97510324633529,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.35, 'e': 0.6149999999999997}",25,0,-64.57258756228397,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.35, 'e': 0.6099999999999997}",20,16,5.241317300258445,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.35, 'e': 0.6049999999999996}",20,0,-19.11697824741699,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.35, 'e': 0.5999999999999996}",25,0,-42.39885501251713,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.35, 'e': 0.5949999999999996}",20,0,-37.06451061607117,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.35, 'e': 0.5899999999999996}",25,6,-4.73908586540951,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.35, 'e': 0.5849999999999996}",20,0,-49.66250705961137,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
